web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,data19,image4,image5,image6,data20,data21,data22,image7
1779632234-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Genial.,Huego H,"La comida era genial, y el camarero - Christian - era una persona agradable para hablar.",1 contribución,1.0,Escrita el 19 de febrero de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,,,,
1779632234-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Experiencia positiva en Madrid,Ángeles P,"El local es agradable y el personal, más. Los platos son variados, los reconedaría todos pero mencionó el bacalao con espuma y miel, el solomillo con foie, la torrija  y suma y sigue
Los vinos tienen buena relación  calidad precio
Pilar nos atendió fenomenal. No nos cansamos de repetir.",8 contribuciones,8.0,Escrita el 1 de febrero de 2026,España,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,,,,,,
1779632234-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Apuesta segura para comer a cualquier hora,Juan Manuel Galvez,"Siempre que queremos ir a un restaurante y no tenemos reserva vamos a Vinitus, y no nos falla nunca,  es una apuesta segura, el servicio es bueno y está bien entrenado en atender a los clientes, nunca se olvidan de nada.",43 contribuciones,43.0,Escrita el 30 de enero de 2026,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,,,,,,,,,
1779632234-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Tapas,KLsig,"El restaurante vino muy recomendable y no nos decepcionó! Todos los platos eran excelentes y recomendados por nuestros servidores. Las mejores tapas que he experimentado, pero lo que hizo que la comida destacara aún más fue nuestros 2 encantadores servidores Gladys y Cathy! Muy agradable y paciente! Básicamente tenían que pedir por mí, ya que no estaba familiarizado con la mayoría de los platos y que hicieron un trabajo excepcional!",27 contribuciones,27.0,Escrita el 29 de enero de 2026,"Claremont, Carolina del Norte",,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,,,,,
1779632234-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,¡Gracias!,Håkon W. E,"Gran comida y servicio de Gladys y Cathy. Muy buenas tapas y servicio rápido. Gran marisco y filete. 
¡Volveremos!",4 contribuciones,4.0,Escrita el 27 de enero de 2026,"Svolvaer, Noruega",,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,,,,,
1779632234-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,¡Encantadoras Tapas!,Dr S,"Realmente disfrutamos de las tapas aquí! El servicio fue excelente, y no tuvimos que esperar demasiado, aunque cabe esperar colas. Encantador ambiente que hace que sea un gran lugar para comer.",21 contribuciones,21.0,Escrita el 22 de enero de 2026,21 contribuciones,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/44/94/c0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/44/94/bf/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,,,,,
1779632257-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,"El personal no era genial, la comida era peor",Louie n,"El restaurante se ve bien al entrar pero la comida no era buena y mientras comíamos un servidor vino recomendándonos probar otra comida después de que ya habíamos comido y no disfrutamos de la comida, eso salió y era insípido también, el servicio era aún peor al final ya que mientras intentaba pagar la máquina de tarjetas no funcionaría, luego nos dejaron sentados allí durante 15 minutos sin explicación y luego otros 15 en la entrada principal preguntando repetidamente si teníamos dinero en efectivo, cuando nos ofrecimos a ir a buscar dinero en efectivo no pudieron dirigirnos a un cajero automático y luego nos pidieron que pagara a través de paypal costando más cargos por una comida ya bastante terrible! anfitriona era muy arrogante y el resto del personal no era de ayuda e igual de confusa! había chica joven (ojalá tuviera su nombre) que hizo lo mejor que pudo pero el resto eran pobres, ningún tipo de disculpa por cualquiera de las esperas que no fue culpa nuestra... . si vas a tomar dinero en efectivo! buena suerte",1 contribución,,1,Escrita el 8 de enero de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,,,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,
1779632257-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Cena y comida,silvia m,"Mucha variedad, comida rica y de calidad. Los postres......no he probado una torrija mas rica en mi vida. Y el precio lo mejor para estar en oleno centro de Madrid",5 contribuciones,,5,Escrita el 5 de enero de 2026,valladolid,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,0,,,,,,,
1779632257-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Maravillosa experiencia,claudio r,"Fantástico...no hay comparación calidad / precio..excelente en todo..servicio..comida, ambiente,.......de las bekoresvtspas de madrid",2 contribuciones,,2,Escrita el 1 de enero de 2026,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,
1779632257-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Sitio agradable de precios medios,Tguhy675,Sitio agradable de precio medio con una buena variedad de carta. El local es bonito y la ubicación inmejorable. Atienden rápido y bien,14 contribuciones,,14,Escrita el 30 de diciembre de 2025,14 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,
1779632257-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Descubrimiento agradable en Gran Vía,Rafael G,"Buena experiencia tanto en la atención por parte de su encargado como sus empleados, comida acorde en precio y calidad a lo que por esta zona de Madrid se acostumbra, nos sorprendieron algunos platos como la oreja, alguno de sus montaditos o la mini parrillada de marisco, de calidad su producto pero quizás lo que más gustó fue su torrija diferente a otras en su concepción y sabrosa y dulce al paladar, no digamos daremos en volver en alguna otra ocasión",231 contribuciones,,231,Escrita el 26 de diciembre de 2025,"Andalucía, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/10/5b/dd/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/10/5b/da/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/10/5b/de/caption.jpg?w=300&h=300&s=1,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/10/5b/db/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/10/5b/dc/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,
1779632257-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Lo recomiendo muchísimo,Bea T,Estaba muy bueno tanto el arroz con bogavante como el cochinillo los empleados son muy amables nos atendió Norma muy amable me encantó el sitio aunque hay que esperar bastante,4 contribuciones,,4,Escrita el 21 de diciembre de 2025,4 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,,
1779632257-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Buen sitio para comer,Reyes P,"Son tapas y raciones pequeñas, pero la comida está muy buena y el precio no es caro.
No reservan pero siempre tienen sitio",15 contribuciones,,15,Escrita el 10 de diciembre de 2025,"Valladolid, España",Calidad/precio,Ambiente,Servicio,Comida,,"La brocheta de langostinos  , el surtido de fritos y los huevos cabreados es lo que más me gusta",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,
1779632257-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,CUCARACHA en patatas bravas,Irene,"Ayer  fuimos a cenar a este restaurante mi pareja y yo. Después de esperar más de 20 min de cola (porque no van dando mesa por orden de llegada, sino que priorizan las mesas de más comensales y las de 2 personas se les van acumulando. Da igual que lleves media hora esperando que si viene una mesa para 4 la van a pasar antes que a ti). Después de tanto esperar y ya desesperados, aceptamos que nos sienten en barra. El primer plato, alcachofas con holandesa, muy rico. Nos llega el segundo, unas patatas bravas y ... Sorpresa!!!! Viene con CUCARACHA incluida!!!!
Se lo comentamos al encargado, y poco después viene una camarera a pedirnos disculpas y decirnos que estabamos invitados a lo que habíamos pedido. Gesto feo por parte del encargado que ni se digno a venir a pedir disculpas sino que mandó a la pobre camarera. Obviamente nos levantamos y nos fuimos y no consumimos el resto de platos que habíamos pedido.
P. D. Es noviembre y hacia un frío que pela, es decir, no época de cucarachas por el calor ni el local está bajo tierra ...",2 contribuciones,,2,Escrita el 23 de noviembre de 2025,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,,,1,,,,,,,
1779632257-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Para repetir,blanca a,"Restaurante en la gran via de Madrid, muy buen ambiente, decoración cuidada, gran variedad de tapas, buena relación calidad precio. 
Ya he estado más veces y volvere",1240 contribuciones,,1240,Escrita el 20 de noviembre de 2025,1240 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cb/24/7a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cb/24/77/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cb/24/7b/caption.jpg?w=300&h=300&s=1,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cb/24/78/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cb/24/79/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,
1779632257-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Buenas experiencia en inmejorable ubicación,Juanra G,"Hemos comido en este restaurante y la verdad que todo genial, hemos tenido que esperar un poco ya que no reservan, al entrar tienen algunos productos expuestos y puedes ver al personal de cocina trabajando, la comida francamente esta muy buena y bien presentada y el personal de sala de 10, nos atendio Somaya y encantadora, 100% recomendable sin duda volveremos.",13 contribuciones,,13,Escrita el 17 de noviembre de 2025,"Jaén, España",Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/c5/81/99/caption.jpg?w=300&h=300&s=1,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,
1779632257-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Una apuesta original y muy atractiva,Miguel Angel O,Sitio muy agradable. Precios ajustados. Mucha variedad de platos algunos muy buenos. Son platos pequeños para compartir El postre de torrija es magnífico. El crujiente de berenjena está delicioso. El rabo de toro bien pero le falta salsa a mi gusto pero el parmentiere de patata que le acompaña está muy bueno. No reservan por lo que te toca hacer cola. Para repetir sin duda,101 contribuciones,,101,Escrita el 16 de noviembre de 2025,101 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,
1779632257-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Viva españa,Serdar D,Todo muy bien. Simpatico atmosfer. Buen servicio. Personal muy profesionista. Muy limpio. Buena victoria. Frituras del mar muy deliciosas.,119 contribuciones,,119,Escrita el 5 de noviembre de 2025,119 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,,,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,
1779632257-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d17815480-Reviews-Vinitus_Gran_Via_Madrid-Madrid.html,Para volver,Krysmtz,"Lugar céntrico, en plena gran vía de Madrid. Las tapas estaban todas buenísimas, en especial la fritura, los huevos cabreados, las croquetas y el pincho de jamón ibérico. Lo recomiendo 100%",47 contribuciones,,47,Escrita el 31 de octubre de 2025,"Figueres, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/9b/84/6e/caption.jpg?w=300&h=300&s=1,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/9b/84/6f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/9b/84/70/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/75/e2/3b/krysmtz.jpg?w=100&h=-1&s=1,,,,
