web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,image,image2,image3,image4,position,name
1779545097-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Mejor Acai en todo el mundo,gschwendtamara,"¡El mejor Acai del mundo! Macha muy bueno también 
Muy amable y limpio. 
Seguro que volveremos en nuestra próxima visita.",3,,Escrita el 10 de octubre de 2025,Ohhh 🥰 Thank you so much!!!!,,3 contribuciones,Almalibre Açaí House,,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Escrita el 2 de diciembre de 2025,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,
1779545120-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Mejor Acai en todo el mundo,gschwendtamara,"¡El mejor Acai del mundo! Macha muy bueno también 
Muy amable y limpio. 
Seguro que volveremos en nuestra próxima visita.",Ohhh 🥰 Thank you so much!!!!,3 contribuciones,Escrita el 10 de octubre de 2025,Escrita el 2 de diciembre de 2025,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,,3,Almalibre Açaí House
1779545120-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Excelente Comida y Servicio,michael f,¡Tuve una experiencia increíble! La comida y el café era increíble y el Servicio era aún mejor. Recomiendo encarecidamente ya que obtiene una gran calidad por un gran precio.,Thank you so much for your lovely review! Hope to see you soon 💜💜,1 contribución,Escrita el 22 de septiembre de 2025,Escrita el 2 de diciembre de 2025,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,,1,Almalibre Açaí House
1779545120-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Excelente,Sidonie S,"Super sabroso, gran variedad de opciones, buen ambiente y personal muy muy amable. 
Buenos precios y alta calidad, lo recomendamos encarecidamente! 
¡El tazón Acai es una prueba obligada!",Thank you so much for your lovely review 🥰💜,6 contribuciones,Escrita el 21 de septiembre de 2025,Escrita el 2 de diciembre de 2025,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,,6,Almalibre Açaí House
1779545120-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Buenísimo!,Sightseer19986242496,"Cuando quiero un buen açai este es el primer sitio al que se me ocurre venir. No solo açai, sino también tostadas, café... rico, buen ambiente y buena atención.",Muchísimas gracias por venir 🥰💜💜,1 contribución,Escrita el 15 de septiembre de 2025,Escrita el 16 de septiembre de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,,1,Almalibre Açaí House
1779545120-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,QUEEEÉ RICOOOOO!,Soñé b,"Un lugar ideal para disfrutar de un libro, un café y las plantas! 🌱 un lugar casi como mi casa! 🏠 

La música es fabulosa!!!",Muchísimas gracias por venir y dejarnos esta reseña 🥰💜,1 contribución,Escrita el 14 de septiembre de 2025,Escrita el 16 de septiembre de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,,1,Almalibre Açaí House
1779545120-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Excelente comida y atención 😀💞💕,ALEJANDRA T,"Excelente comida, calidad y atención! No se lo pierdan! Un lugar para siempre volver!!! :))))))))))) gracias!!!!!!! 😀🙏✨🌈",Muchísimas gracias por veniiiir 🥰💜💜,"Mar del Plata, Argentina",Escrita el 13 de septiembre de 2025,Escrita el 16 de septiembre de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,2 contribuciones,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,,2,Almalibre Açaí House
1779545120-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,El mejor plan para las mañanas en Madrid,Люба Я,El mejor lugar de Madrid para desayunar y açaí 🩷 cada vez disfrutando mucho de la comida y el ambiente y de la gente que trabaja allí! !,Thank you so much for your lovely review 🥰,3 contribuciones,Escrita el 11 de septiembre de 2025,Escrita el 16 de septiembre de 2025,Traducir respuesta,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,,3,Almalibre Açaí House
1779545120-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Ya no es lo que era,EE Sistemas,"La mayoría de la carta se había agotado el producto.  Ya no es el local que fue en su día,  la calidad ha bajado mucho. Hay que agradecer una buena atención,  pero si la comida es de un nivel bajo, dejamos de repetir.",Qué pena leerte con todo el amor que le ponemos a cada plato 💔💔 Tomamos nota ya que siempre hay lugar a mejora 💜,"Zaragoza, España",Escrita el 27 de agosto de 2025,Escrita el 3 de septiembre de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,17 contribuciones,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,,17,Almalibre Açaí House
1779545120-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,El mejor,Marcos Fernando S,El mejor que hemos probado.  Todo fue muy muy bueno. Comida de calidad y buen preparada. Local bonito y el servicio fue rápido.,"Ohhh, muchas gracias por venir! Nos hace muy feliz leerte 💜","Madrid, España",Escrita el 22 de agosto de 2025,Escrita el 26 de agosto de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,2 contribuciones,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,,2,Almalibre Açaí House
1779545120-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Huele mal y peor la comida,Ekoue,"Huele mal el local, fuimos porque pensábamos que era vegano, pero al parecer eso decían, hasta que llegaron unas tortitas con fruta. Resultó ser gofres con salsa muy azucarada y un poquito de kiwi, desde luego, mi hijo debe de llevar una dieta equilibrada le sentó muy mal. Las reseñas no es la realidad del local, el olor ya identificaba la comida","Buenos días Pedro. El local es vegetariano (90% vegano) y tenemos muchísimas opciones para que puedas elegir, pero habéis elegido los waffles para tu hijo habiendo leído los ingredientes de la carta. Las reseñas que recibimos están realizadas por nuestros clientes con mucho amor y son el fruto de una atención excelente de nuestro grupo humano y de nuestra comida deliciosa. Creemos que debes haber considerado, al dejar esta reseña, que detrás hay personas que trabajan con mucho amor y no creemos que lo hayas echo solo por hacer daño.","Marbella, España",Escrita el 16 de agosto de 2025,Escrita el 19 de agosto de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,17 contribuciones,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/3c/e4/1d/avatar.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,,17,Almalibre Açaí House
1779545120-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Ambiente increíble. Buena comida.,Cole M,"Tuvimos un increíble tazón de açai en Madrid, súper fresco, perfectamente equilibrado y con la cantidad justa de dulzor. La tostada de aguacate era igualmente deliciosa — cremosa, sabrosa y bellamente chapeada. Muy recomendable para un comienzo de día saludable y sabroso!",Thank you so much for your visit and review 🥰💜💜💜,1 contribución,Escrita el 2 de agosto de 2025,Escrita el 12 de agosto de 2025,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,,1,Almalibre Açaí House
1779545120-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Súper súper súper!,Michelle M,"Súper súper súper! nos ha encantado todo, volveremos, eso seguro! Un lugar donde te sientes cómodo y la comida es realmente buena, de calidad y presentada con mucha delicadeza y gusto.",Muchísimas gracias por venir 🫂💜,"Torrejón de Ardoz, España",Escrita el 29 de julio de 2025,Escrita el 12 de agosto de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,2 contribuciones,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,,2,Almalibre Açaí House
