web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,image3,position
1776263430-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Cena familiar,Teresa C,"Muy bonito lugar 
La comida muy buena y la atención de Selene fue excelente 
Muy recomendable y regresaremos pronto 
Muchas gracias por todo","Hola Teresa, Estaremos encantados de verte de nuevo y Selene te recibirá nuevamente con una sonrisa.",Escrita el 26 de mayo de 2024,may 2024 • En familia,1 contribución,1 contribución,SteakBurger L,Escrita el 30 de mayo de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,1,Leer más,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263430-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,para chuparse los dedos,JL,"Excelente atención de tod@s los camareros y en especial Dani consu amabilidad y profesionalidad en todo momento pendiente. Samara con su sangría hace que se te salten las lágrimas.
Ambiente muy agradable, carnes espectaculares todas las probadas y resto entrantes y postres riquísimos igualmente)
Lo dicho: rico rico y muy recomendable.
Equipazo enhorabuena 👍",Nos motiva mucho saber que tuviste una experiencia agradable con nosotros. Esperamos que se repita y volver a verte pronto.,Escrita el 26 de mayo de 2024,may 2024 • En familia,3 contribuciones,"Madrid, España",SteakBurger L,Escrita el 30 de mayo de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,3,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/c1/75/a4/sherpa42612851156.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263430-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Me encantó,Andrea L,"Estuve allí con mi pareja y nos pareció excelente, muy buena atención de parte de sebastian y la comida deliciosa. Además de que tiene un ambiente muy acogedor y limpio. Volvería sin dudarlo.","Andrea, gracias por tomarte el tiempo de compartirnos tu experiencia, nos ayuda a mejorar. Esperamos verte pronto.",Escrita el 26 de mayo de 2024,may 2024 • Parejas,1 contribución,1 contribución,SteakBurger L,Escrita el 30 de mayo de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263430-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,"Buenas hamburguesas, pero caras.",Marcelo,"Buenas hamburguesas. Buen gusto. Cada vez son más caros. 

Las patatas al horno han reducido su tamaño en 3 , sin envoltura de Alu. O tal vez eso tuvo algo que ver con el hecho de que pedí un sándwich de chorizo, que se considera un aperitivo. 

Buen servicio. Aprecié especialmente a Dani. 

Otra cosa buena a tener en cuenta, hay mucho espacio el domingo. Este es probablemente un restaurante entre semana, ya que está cerca de las grandes oficinas de Telefónica y no muy lejos de bbva. 

En general, buena experiencia, pero demasiado caro. De ahí las 4 estrellas","Hi Marcelo, Your opinion is important to us and helps us to improve.",Escrita el 26 de mayo de 2024,may 2024 • En familia,36 contribuciones,"Almería, España",SteakBurger L,Escrita el 30 de mayo de 2024,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",36,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263430-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Todo perfecto,Sonsoles S,"Una experiencia muy positiva, local muy agradable, el personal de sala muy amable y la comida muy buena. Todo como esperaba.",Trabajamos día a día para mejorar y tu opinión nos ayuda a saber cual es el camino. Muchas gracias. Esperamos volver a verte pronto.,Escrita el 25 de mayo de 2024,may 2024 • Parejas,1 contribución,1 contribución,SteakBurger L,Escrita el 30 de mayo de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,1,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,
1776263413-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,He celebrado mi cumpleaños en familia y no puedo estar más agradecido a todo el equipo de steakburguer,Luis F,"Nada malo que decir , al contrario.
Trato espectacular y comida perfecta.
Toda la familia encantada.
Un 10 para todo el equipo de steakburguer, hacen todo lo posible para que tu experiencia sea perfecta y lo consiguen.
Sin duda , volveremos.",,1 contribución,Escrita el 13 de octubre de 2024,,1,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0.0,,,,
1776263413-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Experiencia inmejorable,Marta F,"Nunca defrauda, solemos ir cada fin de semana y pedimos ensalada de quinoa y hamburguesas, todo riquísimo y la atención inmejorable. 
Siempre repetimos",,2 contribuciones,Escrita el 5 de octubre de 2024,,2,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b5/f2/f4/q1619ivmartaf.jpg?w=100&h=-1&s=1,,
1776263413-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Un gran acierto ✅️,eugeni033,"Es muy extraño que un local tan chulo con espacios entre mesas... este tan vacío.
Daniel y Luisa grandes anfitriones 
Esperamos volver pronto.
Vivimos en sanchinarro y este pasa a ser  uno de nuestros sitios favoritos.
Para venir no solo con amigos,solos o en familia mil gracias 😊",,11 contribuciones,Escrita el 17 de agosto de 2024,,11,"Madrid, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/2d/52/10/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,
1776263413-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Precio exagerado para una calidad normal,Jcportela,"Relación calidad precio mala. Precio exagerado y servicio mediocre.

Fuimos toda mi familia a probar este restaurante y la sensación fue mala. Servicio muy normal para precios muy elevados. 100€ por 4 hamburguesas que no se diferencian en nada a la calidad de otras mucho más económicas.",,1 contribución,Escrita el 2 de agosto de 2024,,1,"Soria, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,,
1776263413-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Mal,gema1310,"Que diferencia y no para bien.
Hemos venido en bastantes ocasiones.
Pero cada vez el servicio es peor.
Siempre pido Margarita desde que me lo ofrecieron la primera vez que vine últimamente falta algún ingredientes o se olvidan de la promoción.
Con la tarjeta de fidelización pasa algo similar o no les funciona el terminal con el que añaden los puntos o te dicen que te los han sumado sin preguntarte siquiera el nombre o teléfono.
Dudo que vuelva.Mal",,80 contribuciones,Escrita el 13 de julio de 2024,,80,"Madrid, España",,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/0c/53/e1/gema1310.jpg?w=100&h=-1&s=1,,
1776263413-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,No volveré a creer las calificaciones de los asesores de viaje. Cuidado comprador.,Mike B,"Servicio lento. Estaba cerca del bar y 3 asistentes estaban cerca de todos me ignoraron. Finalmente tomé una cerveza. Lo mismo. Finalmente dije que si terminaba mi cerveza me iba. 5 minutos después uno se separó para tomar la orden. Burger. McDonalds, rey de las hamburguesas mejor. Por un montón, tan decepcionado, trip advisor tenía 4 estrellas. Qué vergüenza, nunca volveré a creer sus calificaciones.",,23 contribuciones,Escrita el 22 de junio de 2024,,23,23 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,
1776263413-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Valeria la más grande,Javier Bernal,Valeria es la mejor camarera del mundo. La comida muy rica y los helados una pasada. Todo fenomenal. Volveremos seguro.,,5 contribuciones,Escrita el 19 de junio de 2024,,5,5 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/9c/94/d5/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,
1776263413-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,La comida solo superada por el servicio,Carlos M,"Una carta variada, un local estupendo, un servicio excelente y todo muy agradable. Especialmente el servicio de Valeria",,2 contribuciones,Escrita el 19 de junio de 2024,Muchas gracias por tu valoración esperamos verte pronto en Steak tablas,2,2 contribuciones,SteakBurger L,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Escrita el 25 de octubre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1776263413-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Comida y ambiente excepcionales y personal muy amable,Abel O,Trato excelente y cercano con comida de calidad y muy variada. Muy recomendable!! Nos atendió una chica súper maja llamada Valeria!! Muy cercana y agradable y las recomendaciones que nos dio muy TOP!!,,1 contribución,Escrita el 15 de junio de 2024,Muchísimas gracias por su reseña. Es una alegría saber que pudieron disfrutar del ambiente y la comida de nuestro restaurante. Apreciamos su recomendación y estaremos encantados de atenderlos cuando vuelvan. ¡Hasta la próxima!,1,1 contribución,SteakBurger L,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 18 de junio de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1776263413-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,La atención excelente y la comida TAMBIÉN,Elena,"Me ha encantado el sitio y sobre todo el servicio que nos ha dado Dani, súper servicial, amable y una atención de 100!
La tarta de queso espectacular pero de la galleta NI HABLEMOS😌 Todo increíble debería estar mucho más lleno que luego echamos en falta un buen servicio y aquí lo tenemos 
Súper especial e increíble 
Gracias por ser como sois y tener estas burgers tan exquisitas",,14 contribuciones,Escrita el 12 de junio de 2024,Muchísimas gracias por su reseña. Nos alegra mucho saber que pasaron un tiempo agradable y pudieron disfrutar de nuestros platos además del servicio de nuestro personal. Estaremos encantados de atenderlos de nuevo. ¡Hasta pronto!,14,"Madrid, España",SteakBurger L,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 18 de junio de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/48/24/16/elena-n.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1776263413-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d26271928-Reviews-Steakburger_Las_Tablas-Madrid.html,Hamburguesas buenísimas,Bianca d,"Muy buen servicio, las hamburguesas increíbles y el atendimiento de Dani fue estupendo. Volveremos seguro muy pronto.",,2 contribuciones,Escrita el 12 de junio de 2024,Muchísimas gracias por su reseña. Nos alegra saber que pudieron disfrutar y que nuestro personal les brindara un buen servicio. ¡Hasta la próxima!,2,2 contribuciones,SteakBurger L,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Escrita el 18 de junio de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
