web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,image3,data16,data17,data18,data19,image4
1776263763-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Mejor peruano de Madrid,Karen R,"Me encanta comer en este sitio. Uno de los mejores peruanos y la atención . Pedro nos atendió esta vez y muy atento en todo momento 
Esta vez fuimos un viernes a la hora de los Menú y todo súper rico y buena cantidad",1 contribución,Escrita el 27 de septiembre de 2024,1.0,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/a3/d0/be/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,
1776263763-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Buen menú,Maria R,"Genial para comer un menú entre semana barato, contundente y de calidad. El servicio muy atento! y la localización es ideal si estás visitando el centro de Madrid.",1 contribución,Escrita el 26 de septiembre de 2024,1.0,,,,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,,
1776263763-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Buena comida y buen servicio,noelia p,Fuimos a cenar y nos atendió Pedro. La comida estaba excepcional. Pedro estuvo súper atento durante toda la cena. Sin duda volveremos.,1 contribución,Escrita el 25 de septiembre de 2024,1.0,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,
1776263763-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,,,,,,,Leer ahora,Quédate y descubre los tesoros ocultos de Hiroshima — de la paz a la aventura,"Ruta dorada, final de platino — Hiroshima eleva tu viaje por Japón.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/dd/ae/caption.jpg?w=400&h=400&s=1&cx=4096&cy=2752&chk=v1_4cc8bb50a02acd7b87cb,,,,,,,
1776263763-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Una experiencia soul food en Madrid,Isabella B,"Un restaurante sencillo con comida auténtica y con un toque magnífico de ""soul"" food. Todo exquisito. La atención al detalle en los diferentes sabores de todos los platos fue muy buena. Además que consigues texturas diferentes. 
Recomiendo el ceviche de pescado! 

La atención de Pedro, sin duda fue de las mejores que he tenido. Siempre amable, atento y respetuoso. 

Los precios son más altos que el promedio en Madrid, pero la experiencia y la excelencia de los platos lo valen. 

Sin duda, lo recomiendo.",7 contribuciones,Escrita el 25 de septiembre de 2024,7.0,,,,7 contribuciones,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/a0/3a/22/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,
1776263763-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Cenando en madrid,gonzalo v,"Excelente atención por parte de Pedro y muy buena comida, wl mejor restaurante de comida peruana en Madrid.recomendado 100%.",2 contribuciones,Escrita el 22 de septiembre de 2024,2.0,,,,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/96/c0/08/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,,
1776263763-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Peruano muy rico,Paloma R,"Muy rico y muy bien de precio! Hemos pedido ceviche de pescado, tiradito con salsa rocoto y causa limeña. El ceviche de pescado muy bueno, tiradito también y la causa en escabeche quizás lo peor. Eso sí, la atención de Pedro lo más. Gracias!",8 contribuciones,Escrita el 18 de septiembre de 2024,8.0,,,,8 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,,,,,,
1776263763-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Todo muy rico y en cantidad,Journey50794093777,Todo genial y super bueno como de costumbre.. Y el camarero Pedro muy atento. Una experiencia recomendable para disfrutar con amigos y o familia,1 contribución,Escrita el 17 de septiembre de 2024,1.0,,,,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,,,
1776263750-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,El mejor peruano de Madrid,Mercedes C,"¡Amo este restaurante! Conozco muchos restaurantes peruanos en Madrid y este es el MEJOR. Exquisito ceviche y pollo. Y si te atiende Pedro, mejor todavía !!!",3 contribuciones,Escrita el 13 de noviembre de 2024,3 contribuciones,,,,Calidad/precio,Ambiente,Servicio,Comida,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",3.0,Leer más,0.0,
1776263750-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,,,,,,,Leer ahora,Los 10 mejores restaurantes con estrellas Michelin de París para disfrutar de la mejor experiencia gastronómica,"La capital francesa no solo destaca por el arte, la cultura y el romanticismo, sino también por albergar los mejores restaurantes del mundo. Francia es un centro gastronómico internacional que cuenta con el mayor número de restaurantes con estrellas Michelin. Además, más de 100 de estos restaurantes se encuentran en París.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/49/39/a6/caption.jpg?w=400&h=400&s=1&cx=640&cy=370&chk=v1_6b332c6c87703423d066,,,,,,,
1776263750-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Deliciosa elección,Laura C,"Delicioso.comimos tamal riquísimo,ceviche y tiradito muy muy rico y después nos dejamos aconsejar por Pedro , nuestro camarero, recomendándonos lomo y pato con arroz. Todo de 10",2 contribuciones,Escrita el 9 de noviembre de 2024,2 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,2.0,Leer más,0.0,
1776263750-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,decepcionantr,Sonia H,"Se ha convertido en un restaurante de comida de poca calidad nada reseñable. Nada que ver con el kausa que yo conocía (un producto de calidad y con elaboración exquisita). Plato de 5 (y solo 5) mejillones sobre hielo con aji ( emulando a un plato de ostras, pero son mejillones...) un despropósito ( 11 euros) Un  entrante de pescado rebozado frío con mayonesa que podria ser de bote. Una causa limeña con un puré de patata tieso que podría estar hecho hace dos días con un tomate cherry y  aguacate tirado encima... podría continuar, pero no merece la pena. Este no es el Kausa al que yo venía desde las afueras de Madrid  y  que recomendaba como el mejor sitio de comida peruana de Madrid.",1 contribución,Escrita el 9 de noviembre de 2024,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,1.0,Leer más,0.0,
1776263750-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Comida peruana en Madrid,Juvenal G,"Buena comida con sabor peruano, se tardan un poco en atenderte pero excelente comida. Menú del día muy recomendado. Atendió Pedro",4 contribuciones,Escrita el 5 de noviembre de 2024,"Ciudad de Panamá, Panamá",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/a5/13/dc/juvenal-g.jpg?w=100&h=-1&s=1,,,4.0,Leer más,0.0,
1776263750-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Muy bueno,Carol B,"Muy buenos los platos muy ricos y lo recomiendo bastante, fui con mi madre y también le encantó mucho volveremos a repetir",1 contribución,Escrita el 5 de noviembre de 2024,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,,,1.0,Leer más,0.0,
1776263750-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Muy recomendable,Carmen M,Comida buenísima y atención excelente. Ceviche de pescado muy rico y tallarines salteados con pollo. Pisco de limón riquísimo.,7 contribuciones,Escrita el 30 de octubre de 2024,7 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,7.0,Leer más,0.0,
1776263750-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,,,,,,,Leer ahora,12 experiencias y lugares de rodaje emblemáticos de Harry Potter en Londres,"20 años después, la magia del mundo mágico de Harry Potter sigue viva. Tanto si tienes los libros ya gastados como si has visto las películas hasta la saciedad (o ambas cosas; como tiene que ser), como buen fan de Harry Potter no puedes perderte Londres, donde se pueden visitar los lugares de rodaje, las fuentes de inspiración y las atracciones que evitarán que este fuego eterno se apague.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/dc/15/52/caption.jpg?w=400&h=400&s=1&cx=700&cy=504&chk=v1_99d8403675da1a442f8d,,,,,,,
1776263750-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Merece la pena,Elisa L,Muy bueno todo. Buena relación calidad precio y ambiente agradable. Nos atendió Pedro y fue muy amable. Seguro que volveremos.,1 contribución,Escrita el 23 de octubre de 2024,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,1.0,Leer más,0.0,
1776263750-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,10/10,Karen L,"Muy rico, muy buena atención de Pedro, muy recomendado.
El sabor muy rico, muy bien servido, y una atención excelente!!",1 contribución,Escrita el 22 de octubre de 2024,1 contribución,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,Leer más,0.0,
1776263750-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Cena peruana,Konrad B,Muy buena comida peruana. Tuvimos un entrante y probamos lomos saltado. Todo muy sabroso. Pisco sour también lo recomiendo. El camarero Pedro era muy servicial y es una persona agradable.,5 contribuciones,Escrita el 20 de octubre de 2024,5 contribuciones,,,,Calidad/precio,Ambiente,Servicio,Comida,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,5.0,Leer más,0.0,
1776263750-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Todo muy rico!!,David P,Fue nuestra primera experiencia con la comida  peruana y nos gustó mucho.Pedro nos recomendó muy bien y fue muy majo. Lo recomendamos,4 contribuciones,Escrita el 18 de octubre de 2024,4 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,4.0,Leer más,0.0,
1776263750-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,100% Recomendar,Jan,"¡Comida increíble! 
¡Ambiente increíble! 
¡Y Pedro era súper amable! 
Me comí el arroz con pato, súper tierno y delicioso! 
Recomiendo 100%",1 contribución,Escrita el 17 de octubre de 2024,"San Juan, Puerto Rico",,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,Leer más,0.0,
1776263750-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,,,,,,,Leer ahora,Quédate y descubre los tesoros ocultos de Hiroshima — de la paz a la aventura,"Ruta dorada, final de platino — Hiroshima eleva tu viaje por Japón.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/dd/ae/caption.jpg?w=400&h=400&s=1&cx=4096&cy=2752&chk=v1_4cc8bb50a02acd7b87cb,,,,,,,
1776263750-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Recomiendo,Ken,Muy rico y muy buena atención de Pedro. Vamos a regresar! Nos puso salsas extras en la comida que nos llevamos y los anticuchos muy buenos.,7 contribuciones,Escrita el 12 de octubre de 2024,"Cork, Irlanda",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,7.0,Leer más,0.0,
1776263750-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Excelente restaurante peruano.,Mickael,Somos muy fans de la cocina peruana y nos ha encantado este sitio. Estupenda relación calidad precio. Muy bien atendidos por Pedro. Volveremos!,2 contribuciones,Escrita el 12 de octubre de 2024,"Valencia, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,2.0,Leer más,0.0,
1776263750-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Lugar acogedor,Adventure21038180727,"Encantador lugar, la atención de Pedro fue impecable, siempre atento y con una actitud amable que hizo que todo fluyera a la perfección. Definitivamente un 10 de 10, tanto en comida como en atención.",1 contribución,Escrita el 12 de octubre de 2024,1 contribución,,,,Calidad/precio,Ambiente,Servicio,Comida,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,Leer más,0.0,
1776263750-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,"Must try, good Peruvian spot!",Angela G,"Pedro fue fenomenal! (Gracias causa!) La comida estaba buena. Bueno, la leche de tigre parecía tiradito en mi opinión. Y aún así el ambiente es perfecto con su salsita y los baños limpios!",2 contribuciones,Escrita el 10 de octubre de 2024,2 contribuciones,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2.0,Leer más,0.0,
1776263737-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Habla Kausa,Cristina Caro,Riquísimos platos tradicionales peruanos :) tequeños de ají de gallina y papa rellena bien crujiente. Genial atención de Jazmín. Volveremos.,1 contribución,Escrita el 3 de marzo de 2025,1 contribución,1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/8c/a1/07/cristina-c.jpg?w=100&h=-1&s=1,,,0,,,,
1776263737-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Una gran comida,Isabel R,"Un menú del día completo y muy buena relación calidad precio, todo muy rico. La atención excepcional por parte del personal. Muy recomendable.",4 contribuciones,Escrita el 3 de marzo de 2025,4 contribuciones,4,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,0,,,,
1776263737-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Buena experiencia.,Alfredo Martin F,"Se encuentra en buena ubicación, la comida es muy buena, excelente atención y buenos precios.
Recomendable, muy buena experiencia.",1 contribución,Escrita el 1 de marzo de 2025,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,0,,,,
1776263737-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,"Muy buena comida, gracias Leo!",Isaac C,"La experiencia en este lugar fue excelente. La comida estuvo deliciosa, con sabores bien equilibrados y una presentación impecable. Además, la atención fue de primera, siempre atentos a cada detalle para que todo estuviera perfecto. Un agradecimiento especial a Leo, quien hizo que nuestra visita fuera aún más agradable con su amabilidad y profesionalismo. ¡Definitivamente un lugar al que volveremos!",1 contribución,Escrita el 12 de febrero de 2025,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,0,,,,
