web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image,image2,image3,data24
1775659968-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Una casa de estaca perfecta,Abel A,"La comida era increíble y el servicio era excelente, no reservamos, pero nos encontraron un lugar, pero recomendamos que vaya con reservas. Prueba la estaca T Bone",1 contribución,1.0,1 contribución,Escrita el 23 de diciembre de 2024,,,,,,,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,,,
1775659968-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Hamburguesas de calidad y trato estupendo,marina,Cesar nos atendió estupendamente.Las hamburguesas riquísimas y el ambiente era perfecto.Sin duda repetiremos porque nos encantó ❤️,3 contribuciones,3.0,"Valencia, España",Escrita el 21 de diciembre de 2024,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,
1775659968-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Sorpresa,Mohammed Hakim,"Cuando pasamos por este restaurante, sentimos que era una trampa para turistas. Pero entonces, un día, estábamos cerca, con mucha hambre, así que decidimos mirar las calificaciones: eran 4. 6 . Así que fuimos por ello. Cuando entramos, el ambiente era único. Había 2 restaurantes separados, uno italiano y el otro, tex - mex. Era tranquilo, así que nos permitieron sentarnos en uno y ordenar del otro. Seguimos siendo escépticos hasta que llegó el primer plato, luego el segundo, el tercero, y así sucesivamente. Todo estaba simplemente delicioso. Pedimos la ensalada equivocada por error, pero estaba tan deliciosa que nos la comimos de todos modos. El personal era muy amable y servicial. Yo diría que no me importa si es una trampa turística, por lo que a mí respecta, con gusto volvería a cenar allí.",178 contribuciones,178.0,"Jeddah, Arabia Saudita",Escrita el 19 de diciembre de 2024,,,,,,,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,
1775659968-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,,,,,,,,Leer ahora,Quédate y descubre los tesoros ocultos de Hiroshima — de la paz a la aventura,"Ruta dorada, final de platino — Hiroshima eleva tu viaje por Japón.",,En colaboración con Hiroshima Tourism(HIT),Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/dd/ae/caption.jpg?w=400&h=400&s=1&cx=4096&cy=2752&chk=v1_4cc8bb50a02acd7b87cb,,,
1775659968-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Nunca defrauda,Paloma,"Hemos estado varias veces en él y siempre el trato es magnífico. Cada vez, pedimos una cosa nueva distinta, esta vez, tocaron los nachos que estaban deliciosos. Pedimos la melting cheese, y además de que acaban en la mesa con el queso, su sabor es único. Todas vienen acompañadas de patatas fritas o asadas. 

Un saludo especial a Willy, el camarero, siempre es  muy atento con nosotros. ¡Nos veremos pronto!",305 contribuciones,305.0,"Valmojado, España",Escrita el 15 de diciembre de 2024,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,Leer más,1.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/49/36/a9/paloma-a.jpg?w=100&h=-1&s=1,
1775659968-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,"Espectacular, ¡para repetir!.",Sergio,"Pese a haber cola para entrar, nos atendieron pronto y bien. Entramos al local, muy bonito decorado. Nos tomaron nota de lo que queríamos y trajeron la comida bastante rápido, pese a que el restaurante estaba lleno. La atención muy correcta y sin ningún malentendido ni incidente. El precio muy razonable para la zona y la calidad de la comida. Pasamos un rato muy agradable y desde luego volveríamos a repetir. La hamburguesa de carne madurada, ¡espectacular!.",5 contribuciones,5.0,5 contribuciones,Escrita el 24 de noviembre de 2024,,,,"Reservar con bastante tiempo de antelación y acudir puntual.
La carta se lee con un QR. Abajo la cobertura puede ser peor.",,,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,
1775659968-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Comida sabrosa,Anita B,"Un grupo de nueve, incluyendo dos llegadas posteriores. El personal no podría haber sido más servicial y obiliging. 3 T - huesos y 6 hamburguesas diferentes orden, solo 1 ligeramente frío con que se sustituyen por uno fresco y todos disfrutamos a través.",4 contribuciones,4.0,4 contribuciones,Escrita el 18 de noviembre de 2024,,,,,,,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,
1775659968-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,decepción y carísimo,cristinayjuanjo2015,"el sitio es muy bonito, la hamburguesa es carne tirando a cutre carísma, una hamburguesa pequeña nos clavaron 22 euros con queso y unas tiras de bacon carton piedra. nos guiamos por las opiniones pero nada que ver. obervamos allí que las camareras te piden que valores el restaurante in situ. no lo recomendaría a nadie con la de sitios que dan hamburguesas en Madrid",19 contribuciones,19.0,"Pamplona, España",Escrita el 28 de octubre de 2024,,,,buscar otros locales en Madrid si se desea comer hamburguesas,,,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/95/avatar021.jpg?w=100&h=-1&s=1,
1775659953-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,volveremos,adri,"esta genial el ambiente, muy buena comida, recomendadisimo !! fijo volvemos. la atencion de keny buena,muy amable recomiendo el abanico ibérico.",2 contribuciones,2.0,Escrita el 4 de julio de 2025,¡Nos alegra mucho que disfrutaran tanto del ambiente como de la comida! Es genial saber que la atención de Kenny fue buena y que te encantó el abanico ibérico. ¡Aquí los esperamos con gusto cuando decidan volver!,,2 contribuciones,,Jaime Vicente,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Escrita el 2 de agosto de 2025,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,0.0
1775659953-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Comida sorprendente y personal TOP!,Anna C,"Ideal para comida o cena entre amigos, muy buen ambiente y comida de excelente calidad!
Personal amable, familiar y divertido. ¡Súper aconsejable!",3 contribuciones,3.0,Escrita el 4 de julio de 2025,"¡Muchísimas gracias por tu reseña! Nos alegra un montón que disfrutaran del ambiente y de la comida, y que nuestro personal les haya parecido amable y divertido. ¡Esperamos verlos de nuevo muy pronto para otra comida entre amigos!","El Margarita con mango es para probar sí o sí, y para repetir también!
Y mil gracias a Douglas, Jeny y sobre todo a Lady, sois lo mejor!",3 contribuciones,Consejo:,Jaime Vicente,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Escrita el 2 de agosto de 2025,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/94/01/76/anna-c.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,0.0
1775659953-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Ribs a la barbacoa,Daniel D,Todo estuvo espectacular muy recomendado. Volveremos Keny muy amable. Gracias por hacernos sentir como en casa. Y lady es encantadora,2 contribuciones,2.0,Escrita el 4 de julio de 2025,¡Muchísimas gracias por tu reseña! Nos alegra un montón que todo les haya parecido espectacular y que la atención de Keny y Lady los hiciera sentir como en casa. ¡Esperamos verlos de nuevo muy pronto!,,2 contribuciones,,Jaime Vicente,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Escrita el 2 de agosto de 2025,,,,Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,0.0
1775659953-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Exc servicio,Yorleni J,Kevin fue un gran salonero durante nuestra visita y la comida deliciosa!! Gracias por el servicio!!!! Volveremos pronto,11 contribuciones,11.0,Escrita el 2 de julio de 2025,¡Nos alegra mucho que hayan disfrutado de la comida y de la atención de Kevin! Le haremos llegar sus amables palabras. ¡Esperamos verlos de nuevo muy pronto!,,11 contribuciones,,Jaime Vicente,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Escrita el 2 de agosto de 2025,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c8/84/bd/yorleni-j.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,0.0
1775659953-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Lo mejor,jericho S,"Súper contentos con el restaurante, sobretodo Cris que gracias a ella nuestra experiencia ha sido de 10. Muy recomendable",1 contribución,1.0,Escrita el 29 de junio de 2025,¡Nos alegra muchísimo que estén tan contentos y que su experiencia haya sido de 10! Le haremos llegar sus amables palabras a Cris. ¡Esperamos verlos de nuevo muy pronto!,La carne es lo mejor,"Madrid, España",Consejo:,Jaime Vicente,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Escrita el 2 de agosto de 2025,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,0.0
1775659953-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Delicioso filete,Dink donut,"Ambiente muy hermoso, Janice nuestras camareras era muy amable y atento. Tomamos un filete y estaba delicioso. Esperamos volver a visitar",1 contribución,1.0,Escrita el 28 de junio de 2025,Thank you so much for the lovely review! We're thrilled to hear that you enjoyed the beautiful environment and that your steak was delicious. We'll be sure to pass along your kind words to Janice. We hope to see you again soon!,,"Addis Ababa, Etiopía",,Jaime Vicente,,,,,Mostrar original,,Escrita el 2 de agosto de 2025,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,0.0
1775659953-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Terrible experiencia. Piénsalo dos veces!!!,Global09978203065,"Mi familia y yo tuvimos una experiencia extremadamente decepcionante en este restaurante. Comenzó con un proceso de pedido confuso e inconveniente, no hay menú físico. Debes escanear un código QR antes de dirigirte a tu mesa aparentemente porque el Wi-Fi no funciona bien abajo. Incluso después de escanear, los precios no son visibles hasta que ya esté sentado, lo que se siente intencionalmente engañoso. 

El personal luchó para tomar nuestro pedido debido a los problemas de conexión en curso, y estaba claro que estaban frustrados con uno incluso abiertamente quejado de la mala Wi-Fi. Cuando nuestra comida finalmente llegó, una de las comidas de los niños (un plato de 28 €) se suponía que estaba cocinada de forma media. Aunque los bordes parecían estar bien, el centro era claramente raro. Se lo señalé al camarero, quien se ofreció a llevarlo de vuelta a la cocina para cocinarlo aún más, algo que no es aceptable a mis ojos. En todo caso deberían haber sugerido rehacer el plato de nuevo no volver a cocinarlo. ¡Tan poco profesional! 

Nos negamos y solicitamos un descuento, ya que el plato estaba parcialmente comido y no cocinado como se había pedido. Pensamos que esta era una sugerencia justa, especialmente que NO aceptaron rehacer el plato. ¿La respuesta? Una negativa rotunda, seguida de una amenaza de llamar a la policía si no pagamos, todo esto se desarrolla frente a mis hijos. Cuando intenté explicar tranquilamente nuestras preocupaciones a la dirección, se negaron a escuchar. Un funcionario incluso se puso agresivo y comenzó a gritar. 

También notamos que otros huéspedes tenían problemas: dos grupos separados bajaron, se sentaron brevemente y se fueron rápidamente. Otra pareja estaba discutiendo con el personal sobre su factura cuando llegamos — ellos también se fueron visiblemente molestos. 

Estoy escribiendo esta reseña para que otros puedan evitar la misma experiencia. El comportamiento de la dirección fue poco profesional, el servicio fue desorganizado y la actitud hacia los comentarios de los clientes fue francamente hostil. Esta fue, sin duda, una de las peores experiencias en restaurantes que hemos tenido. 

Piénsalo dos veces antes de comer aquí, podrías terminar igual de decepcionado.",2 contribuciones,2.0,Escrita el 25 de junio de 2025,,,2 contribuciones,,,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,0.0
1775659953-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Un sitio perfecto,paloma c,"Un sitio súper top!! Relajante, acogedor, chic y con estilo, todo junto a la vez. Todo el personal súper agradable, en concreto Janis que fue la chica que nos atendió en mesa, ha sido un amor con nosotros. Y lo más importante, la comida buenísima, hemos acabado chupándonos los dedos literal!!! Cuando volvamos a Madrid repetiremos sin duda!!😊",2 contribuciones,2.0,Escrita el 20 de junio de 2025,"¡Muchísimas gracias por tu reseña tan fantástica! Nos alegra un montón que les haya gustado tanto el ambiente y la comida. Le haremos llegar sus amables palabras a Janis, ¡estará encantada de saberlo! Nos hace muy felices saber que volverán a Madrid y que nos elegirán de nuevo. ¡Aquí los esperamos!",,2 contribuciones,,Jaime Vicente,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Escrita el 2 de agosto de 2025,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,0.0
1775659953-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Comida media Servicio medio,Kevin F,"Las cosas no empezaron bien cuando nos pidieron escanear un código de barras para el menú de arriba antes de que nos dirigiéramos a nuestra mesa, ya que no hay señal dentro del edificio. El WiFi del cliente no funciona, por lo que si navegas fuera ya no tienes acceso al menú. No parecía que tuvieran la opción de un menú real, lo que dado el problema de la señal parecía un poco loco. 

La comida estaba bien. Tenía las Alas de Borbón para empezar y eran excelentes. Mi esposa tenía los palitos de Brie que obviamente se cocinaron congelados, sin embargo, recibió bastantes de ellos. 

Para la alimentación tuve el cerdo servido con papas fritas que era promedio pero seco y de nuevo una porción razonable, sin embargo, mi esposa tenía la hamburguesa de cerdo tirada que era completamente no comestible. Dejó más de tres cuartas partes. 

Los cócteles que recibimos eran muy buenos y de nuevo a un precio razonable para la zona. 

Cuando la camarera vino a limpiar la mesa era obvio que mi esposa había comido muy poco de la comida que pidió, pero simplemente nos preguntaron si habíamos terminado y si podían limpiar la mesa. Como era una noche de semana, el restaurante estaba vacío, así que no se debió a estar demasiado ocupado para darse cuenta. 

Saldamos la cuenta y nos fuimos. En general, una experiencia decepcionante teniendo en cuenta las críticas que habíamos leído. 

Hay tantos lugares para comer en Madrid, incluso a solo cinco minutos a pie, todos sirven buena comida. Quizás solo elegimos una mala noche para visitar, pero no recomendaría este restaurante y no volvería de nuevo",2 contribuciones,2.0,Escrita el 19 de junio de 2025,,,"Swords, Irlanda",,,,,,,Mostrar original,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,0.0
