web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,position,data14,data15,image,image2
1776248067-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Excelente,Jarid G,"El servicio 10 de 10, buenas carnes y la atención excelente, gracias Ruben por la atención que nos diste",1 contribución,Escrita el 23 de enero de 2026,,ene 2026 • En familia,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,
1776248067-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Exquisito,Ennis Eliezer G,"Excelente servicio, a pesar de la espera pues valió la pena, Rubén vale oro…",1 contribución,Escrita el 23 de enero de 2026,,ene 2026 • En familia,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,
1776248067-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Buena comida a muy buen precio,Alejandro,La comida estaba deliciosa y el servicio fue muy rápido y atento. Pedimos entrecot y entraña. Al final nos invitaron a un chupito. Nos atendió Rubén.,1 contribución,Escrita el 23 de enero de 2026,,ene 2026 • Parejas,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,
1776248057-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Nefasto,Antonio R,"Horrible modelo de negocio. Teníamos una reserva a las 15h. el restaurante lleno nos hacen esperar 30 minutos en la calle junto a un numeroso grupo de personas que también tenían sus reservas, en un día realmente desapacible, pasada media hora nos hacen pasar y nos sientan en una mesa  junto a la puerta de entrada que se abre y cierra constantemente, les pedimos que nos asignen otra misa sin éxito por lo que decidimos abandonar el local.
Supongo que está forma de llevar un negocio debe ser muy rentable pero nosotros no volveremos.",Escrita el 19 de febrero de 2026,feb 2026 • En familia,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,
1776248057-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Comida,Coastal00884882308,"La comida y el servicio excelente, la carne de calidad y la atención de Eric de primera",Escrita el 18 de febrero de 2026,feb 2026 • En familia,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,
1776248057-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Cena en pareja,Ruben B,La comida estaba muy buena y la calidad ni te cuento. El servicio excelente. Súper recomendado.,Escrita el 17 de febrero de 2026,feb 2026 • Parejas,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,2.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,
1776248057-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Buena calidad,Sergio R,"Comida muy buena y abundante, muy buen servicio de mesa y muy agradable eric, sobre todo calidad de las milanesas y hamburguesas",Escrita el 16 de febrero de 2026,feb 2026 • Amigos,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,
1776248057-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,El descuentos con the fork son muy buenos,Gabriel E,"Excelente servicio la comida, y el servicio de Ruben! Gracias por todo!",Escrita el 11 de febrero de 2026,feb 2026 • Amigos,2 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,2.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,
1776248057-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Excelente lugar de comida argentina,Mauro M,"Excelente calidad y cantidad, el tamaño de la milanesa napolitana alcanza para terminar con el hambre mundial.",Escrita el 11 de febrero de 2026,feb 2026 • Amigos,2 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,,,Leer más,2.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,
1776248057-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Volvería una y muchas veces más,Danni P,"La comida espectacular, 10/10 la atención perfecta 🤩 nos atendió Laura y otro chico, siempre atentos y puestos a todo.",Escrita el 10 de febrero de 2026,feb 2026 • Amigos,1 contribución,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,
1776248057-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Excelente restaurante,Vicente G,"Comí con mi familia, yo probe un milanesa USA y estaba más buena, aunque las milanesas son gigantes, a pesar de eso fue muy buena. La atención, excelente, siempre pendientes de lo que necesitabamos, volvería completamente con mi familia",Escrita el 7 de febrero de 2026,feb 2026 • En familia,2 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,,,Leer más,2.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,
1776248057-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Maravilloso,Juan Carlos P,"Hemos venido un grupo de 8 personas a comer y todo estaba muy bueno. ¡Las milanesas son enormes! Y Erik ha estado super pendiente de nosotros, muy majo",Escrita el 6 de febrero de 2026,feb 2026 • Amigos,1 contribución,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,
1776248057-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Cena,Jorge L,"Muy buen sitio, con una comida muy buena y a buen precio, nos atendió Erik y una compañera, muy atentos en todo momento, totalmente recomendado volveré sin dudarlo!",Escrita el 5 de febrero de 2026,feb 2026 • En familia,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,
1776248057-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Deliciosa comida!,Ana P,¡Carne perfecta! Empanadas perfectas!,Escrita el 5 de febrero de 2026,feb 2026 • En familia,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,
1776248057-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Comida en familia,Antonio F,"Fuimos con dos niños y nos buscaron una mesa para poder molestar lo menos posible, la comida riquísima y el personal atento con los niños.",Escrita el 5 de febrero de 2026,feb 2026 • En familia,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,
1776248057-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Celebrando nuestras bodas de porcelana,Silvia E,"La verdad todo muy bien, la comida muy rica..la parrilla deliciosa y la ensalada bastante fresca, la sangria en su punto, la atención espectacular. Todos siempre atentos y cordiales. La he pasado muy bien en buena compañía y celebrando nuestro aniversario de bodas 20 años juntos.",Escrita el 3 de febrero de 2026,feb 2026 • Parejas,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,
1776248057-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Experiencia,Marcela G,"Buena carne y me pareció económico, además que la atención de los meseros ha sido muy amable y atenta que le da el mejor toque de la experiencia",Escrita el 2 de febrero de 2026,ene 2026 • Parejas,1 contribución,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,
1776248057-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Muy recomendable,Ana P,"Personal súper amable, comida muy muy rica y bastante rapidez a la hora de atendernos. Íbamos con niños y han sido muy atentos. Disponen de tronas. Repetiremos seguro",Escrita el 1 de febrero de 2026,feb 2026 • En familia,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,2.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,
1776248045-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Muy bueno,Kenya sanz,La parrilla estaba super rica. El punto de la carne tal cual lo pedimos. Y es una cantidad de l parrilla para uno puede ser para dos. La atención de Erick inmejorable. Lo único es el steak tartar que está un poco salado debido a la cantidad de alcaparras.,,Escrita el 8 de marzo de 2026,3 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,3.0,0,,,
1776248045-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,100% Recomedable,Derwin Q,Muy buena la atención y la comida. 100% Recomendable.,,Escrita el 8 de marzo de 2026,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1
1776248045-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Cena,Patricia G,Muy rico todo y Laura muy simpática y atenta.,,Escrita el 8 de marzo de 2026,1 contribución,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1
1776248045-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Asado,Diego P,Estupenda comida relación calidad-preciom,,Escrita el 8 de marzo de 2026,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1
1776248045-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Todo genial,yostin c,Todo muy rico y muy buen servicio¡¡ Un gran asado,,Escrita el 8 de marzo de 2026,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,2.0,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1
1776248045-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Maravilloso lugar,Andréa V,"Excelente servicio, rápida atención, lugar muy agradable.",,Escrita el 7 de marzo de 2026,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1
1776248045-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Cena agradable..,Karen S,Buena atención muy amable el camarero Erik y atento al servicio. Volvería,,Escrita el 7 de marzo de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/9f/c7/74/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1
1776248045-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Buena calidad precio y muy buen servicio,Yolanda G,"Hemos disfrutado de la comida, las carnes muy ricas y las verduras frescas y bien hechas, el servicio ha sido rápido aunque había gente, la atención muy amable y atenta por parte de las camareras.",,Escrita el 7 de marzo de 2026,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1
1776248045-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Calidad y buen servicio,Eva R.,"Hemos cenado muy a gusto, las empanadas argentinas nos han encantado tanto de carne como las de pollo, el entrecot muy rico, ajustando el punto a cada comensal.  El servicio impecable, Laura ha sido muy amable y atenta. Volveremos",,Escrita el 5 de marzo de 2026,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,2.0,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1
1776248045-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Excelente,Veronica M,"Muy rica la comida , la carne en su punto y muy jugosa",,Escrita el 4 de marzo de 2026,3 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,3.0,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1
1776248045-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,(:,Gerson A,Excelente la atención y la comida deliciosa!,,Escrita el 4 de marzo de 2026,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1
1776248045-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Muy bueno,Frank F,Excelente la comida y la atención! Sin duda volveré a repetir,,Escrita el 3 de marzo de 2026,1 contribución,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1
1776248045-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,La atención es excepcional 👏👏,Nicolas B,"Excelente atención y calidad de la comida! La parrillada espectacular!
Obvio que voy a volver ❤️",,Escrita el 1 de marzo de 2026,1 contribución,Calidad/precio,Comida,Servicio,Ambiente,,,Leer más,1.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/91/a3/7d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1
1776248045-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d33094616-Reviews-Asado_Central-Madrid.html,Súper recomendable,Celeste Gisella G,Excelente la comida muy rico y abundante. La atención un 10!,,Escrita el 1 de marzo de 2026,1 contribución,Calidad/precio,Comida,Servicio,Ambiente,La parrillada y la chocotorta son exquisitas,,Leer más,1.0,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/91/a3/51/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1
